40

pkt_rate: 8000 sent_num: 100 recv_num: 100
pkt_rate: 8000 sent_num: 100 recv_num: 23
pkt_rate: 8000 sent_num: 100 recv_num: 26
pkt_rate: 8000 sent_num: 100 recv_num: 30
pkt_rate: 8000 sent_num: 100 recv_num: 30
pkt_rate: 8000 sent_num: 100 recv_num: 82
pkt_rate: 8000 sent_num: 100 recv_num: 94
pkt_rate: 8000 sent_num: 100 recv_num: 16
pkt_rate: 8000 sent_num: 100 recv_num: 36
pkt_rate: 8000 sent_num: 100 recv_num: 92
pkt_rate: 8000 sent_num: 100 recv_num: 94
pkt_rate: 8000 sent_num: 100 recv_num: 100
pkt_rate: 8000 sent_num: 100 recv_num: 31
pkt_rate: 8000 sent_num: 100 recv_num: 28
pkt_rate: 8000 sent_num: 100 recv_num: 81
pkt_rate: 8000 sent_num: 100 recv_num: 25
pkt_rate: 8000 sent_num: 100 recv_num: 90
pkt_rate: 8000 sent_num: 100 recv_num: 31
pkt_rate: 8000 sent_num: 100 recv_num: 14
pkt_rate: 8000 sent_num: 100 recv_num: 30
pkt_rate: 8000 sent_num: 100 recv_num: 27
pkt_rate: 8000 sent_num: 100 recv_num: 88
pkt_rate: 8000 sent_num: 100 recv_num: 93
pkt_rate: 8000 sent_num: 100 recv_num: 31
pkt_rate: 8000 sent_num: 100 recv_num: 92
pkt_rate: 8000 sent_num: 100 recv_num: 23
pkt_rate: 8000 sent_num: 100 recv_num: 90
pkt_rate: 8000 sent_num: 100 recv_num: 29
pkt_rate: 8000 sent_num: 100 recv_num: 34
pkt_rate: 8000 sent_num: 100 recv_num: 90
pkt_rate: 8000 sent_num: 100 recv_num: 100
pkt_rate: 8000 sent_num: 100 recv_num: 23
pkt_rate: 8000 sent_num: 100 recv_num: 94
pkt_rate: 8000 sent_num: 100 recv_num: 30
pkt_rate: 8000 sent_num: 100 recv_num: 88
pkt_rate: 8000 sent_num: 100 recv_num: 20
pkt_rate: 8000 sent_num: 100 recv_num: 29
pkt_rate: 8000 sent_num: 100 recv_num: 30
pkt_rate: 8000 sent_num: 100 recv_num: 22
pkt_rate: 8000 sent_num: 100 recv_num: 94
pkt_rate: 8000 sent_num: 100 recv_num: 27
pkt_rate: 8000 sent_num: 100 recv_num: 22
pkt_rate: 8000 sent_num: 100 recv_num: 96
pkt_rate: 8000 sent_num: 100 recv_num: 32
pkt_rate: 8000 sent_num: 100 recv_num: 17
pkt_rate: 8000 sent_num: 100 recv_num: 19
pkt_rate: 8000 sent_num: 100 recv_num: 26
pkt_rate: 8000 sent_num: 100 recv_num: 23
pkt_rate: 8000 sent_num: 100 recv_num: 33
pkt_rate: 8000 sent_num: 100 recv_num: 21
pkt_rate: 8000 sent_num: 100 recv_num: 93
pkt_rate: 8000 sent_num: 100 recv_num: 21
pkt_rate: 8000 sent_num: 100 recv_num: 93
pkt_rate: 8000 sent_num: 100 recv_num: 95
pkt_rate: 8000 sent_num: 100 recv_num: 22


10000
pkt_rate: 10000 sent_num: 100 recv_num: 11
pkt_rate: 10000 sent_num: 100 recv_num: 25
pkt_rate: 10000 sent_num: 100 recv_num: 86
pkt_rate: 10000 sent_num: 100 recv_num: 22
pkt_rate: 10000 sent_num: 100 recv_num: 87
pkt_rate: 10000 sent_num: 100 recv_num: 81
pkt_rate: 10000 sent_num: 100 recv_num: 7
pkt_rate: 10000 sent_num: 100 recv_num: 84
pkt_rate: 10000 sent_num: 100 recv_num: 20
pkt_rate: 10000 sent_num: 100 recv_num: 95
pkt_rate: 10000 sent_num: 100 recv_num: 89
pkt_rate: 10000 sent_num: 100 recv_num: 7
pkt_rate: 10000 sent_num: 100 recv_num: 95
pkt_rate: 10000 sent_num: 100 recv_num: 100
pkt_rate: 10000 sent_num: 100 recv_num: 94
pkt_rate: 10000 sent_num: 100 recv_num: 24
pkt_rate: 10000 sent_num: 100 recv_num: 89
pkt_rate: 10000 sent_num: 100 recv_num: 27
pkt_rate: 10000 sent_num: 100 recv_num: 19
pkt_rate: 10000 sent_num: 100 recv_num: 12
pkt_rate: 10000 sent_num: 100 recv_num: 11
pkt_rate: 10000 sent_num: 100 recv_num: 96
pkt_rate: 10000 sent_num: 100 recv_num: 100
pkt_rate: 10000 sent_num: 100 recv_num: 16
pkt_rate: 10000 sent_num: 100 recv_num: 26
pkt_rate: 10000 sent_num: 100 recv_num: 23
pkt_rate: 10000 sent_num: 100 recv_num: 14
pkt_rate: 10000 sent_num: 100 recv_num: 24
pkt_rate: 10000 sent_num: 100 recv_num: 20
pkt_rate: 10000 sent_num: 100 recv_num: 18
pkt_rate: 10000 sent_num: 100 recv_num: 32
pkt_rate: 10000 sent_num: 100 recv_num: 21
pkt_rate: 10000 sent_num: 100 recv_num: 90
pkt_rate: 10000 sent_num: 100 recv_num: 92
pkt_rate: 10000 sent_num: 100 recv_num: 97
pkt_rate: 10000 sent_num: 100 recv_num: 14
pkt_rate: 10000 sent_num: 100 recv_num: 22
pkt_rate: 10000 sent_num: 100 recv_num: 97
pkt_rate: 10000 sent_num: 100 recv_num: 13
pkt_rate: 10000 sent_num: 100 recv_num: 15
pkt_rate: 10000 sent_num: 100 recv_num: 20
pkt_rate: 10000 sent_num: 100 recv_num: 91
pkt_rate: 10000 sent_num: 100 recv_num: 19
pkt_rate: 10000 sent_num: 100 recv_num: 19
pkt_rate: 10000 sent_num: 100 recv_num: 24
pkt_rate: 10000 sent_num: 100 recv_num: 92
pkt_rate: 10000 sent_num: 100 recv_num: 100
pkt_rate: 10000 sent_num: 100 recv_num: 22
pkt_rate: 10000 sent_num: 100 recv_num: 81
pkt_rate: 10000 sent_num: 100 recv_num: 100
pkt_rate: 10000 sent_num: 100 recv_num: 15
pkt_rate: 10000 sent_num: 100 recv_num: 18
pkt_rate: 20000 sent_num: 100 recv_num: 100
pkt_rate: 20000 sent_num: 100 recv_num: 10
pkt_rate: 20000 sent_num: 100 recv_num: 100
pkt_rate: 20000 sent_num: 100 recv_num: 92
pkt_rate: 20000 sent_num: 100 recv_num: 12
pkt_rate: 20000 sent_num: 100 recv_num: 98
pkt_rate: 20000 sent_num: 100 recv_num: 15
pkt_rate: 20000 sent_num: 100 recv_num: 7
pkt_rate: 20000 sent_num: 100 recv_num: 8
pkt_rate: 20000 sent_num: 100 recv_num: 9
pkt_rate: 20000 sent_num: 100 recv_num: 97
pkt_rate: 20000 sent_num: 100 recv_num: 13
pkt_rate: 20000 sent_num: 100 recv_num: 100
pkt_rate: 20000 sent_num: 100 recv_num: 17
pkt_rate: 20000 sent_num: 100 recv_num: 11
pkt_rate: 20000 sent_num: 100 recv_num: 100
pkt_rate: 20000 sent_num: 100 recv_num: 13
pkt_rate: 20000 sent_num: 100 recv_num: 99
pkt_rate: 20000 sent_num: 100 recv_num: 97
pkt_rate: 20000 sent_num: 100 recv_num: 14
pkt_rate: 20000 sent_num: 100 recv_num: 93
pkt_rate: 20000 sent_num: 100 recv_num: 95
pkt_rate: 20000 sent_num: 100 recv_num: 11
pkt_rate: 20000 sent_num: 100 recv_num: 99
pkt_rate: 20000 sent_num: 100 recv_num: 10
pkt_rate: 20000 sent_num: 100 recv_num: 94
pkt_rate: 20000 sent_num: 100 recv_num: 11
pkt_rate: 20000 sent_num: 100 recv_num: 10
pkt_rate: 20000 sent_num: 100 recv_num: 12
pkt_rate: 20000 sent_num: 100 recv_num: 100
pkt_rate: 20000 sent_num: 100 recv_num: 12
pkt_rate: 20000 sent_num: 100 recv_num: 94
pkt_rate: 20000 sent_num: 100 recv_num: 93
pkt_rate: 20000 sent_num: 100 recv_num: 9
pkt_rate: 20000 sent_num: 100 recv_num: 11
pkt_rate: 20000 sent_num: 100 recv_num: 6
pkt_rate: 20000 sent_num: 100 recv_num: 14
pkt_rate: 20000 sent_num: 100 recv_num: 94
pkt_rate: 20000 sent_num: 100 recv_num: 100
pkt_rate: 20000 sent_num: 100 recv_num: 100
pkt_rate: 20000 sent_num: 100 recv_num: 9
